CNSX Trading Daily Market Summary August 30 2012 Closing Numbers

Stock                                   	Symbol  	Vol(00s)	        High	     Low	   Close	   Change	           52W Hi	          52W Lo
Royal Oak Ventures Inc.                 	ROV     	        	   0.005	                 	                
Ravencrest Resources Inc.               	RVT     	   0.090	   0.170	            0.240	           0.110
Razore Rock Resources Inc.              	RZR     	   0.030	   0.100	            0.100	           0.010
Silver Phoenix Resources Inc.           	SP      	   0.010	   0.480	            0.580	           0.010
Sypher Resources Ltd.                   	SYP     	   0.160	   0.350	            0.230	           0.160
Talmora Diamond Inc.                    	TAI     	        	        	            0.030	           0.005
TAC Gold Corporation                    	TCG     	   0.040	        	            0.180	           0.020
Telferscot Resources Inc.               	TFS     	   0.040	   0.100	            0.200	           0.010
Enertopia Corp.                         	TOP     	   0.060	   0.095	            0.125	           0.060
Titan Goldworx Resources Inc.           	TTN     	   0.135	   0.150	            0.200	           0.130
Undur Tolgoi Minerals Inc.              	UTM     	   0.100	   0.180	            0.270	           0.100
Vinergy Resources Ltd.                  	VIN     	        	        	            0.005	           0.005
VisionSky Corp.                         	VKY     	   0.080	        	            0.250	           0.030
VisualVault Corporation                 	VVT     	   0.400	   0.500	            1.150	           0.250
Wabi Exploration Inc.                   	WAB     	   0.030	   0.040	            0.050	           0.010
Augustine Ventures Inc.                 	WAW     	   0.110	   0.135	            0.290	           0.100
West Isle Energy Inc.                   	WEI     	        	   0.145	            0.050	           0.005
Winrock Resources Inc.                  	WR      	   0.100	   0.120	            0.125	           0.070
Excalibur Resources Ltd.                	XBR     	   0.180	   0.200	            0.220	           0.085
Canada Renewable Bioenergy Corp.        	XZX     	   0.080	   0.150	            0.500	           0.070

	              Trades:	            187
	        Total Volume:	      4,146,806
	         Total Value:	       $631,188
	            Advanced:	              7
	            Declined:	             17
	           Unchanged:	            154

Note 1:  z - Full Volume.
Note 2:  Change calculated using unadjusted closing prices.
